type,id,c,c++,java,python
UF,if,1,1,1,1
N,else,1,1,1,1
UF,else if,1,1,1,
UF,elif,,,,1
UF,for,1,1,1,1
UF,while,1,1,1,1
UF,do,1,1,1,1
UB,end,1,1,1,
UB,endl,1,1,1,
UF,auto,1,1,1,
UF,len,,,,1
UB,length,1,1,1,1
UB,size,1,1,1,1
UF,list,,,,1
UF,dict,,,,1
UF,try,1,1,1,1
UF,catch,1,1,1,
UF,except,,,,1
UB,Exception,,,1,1
N,null,,,1,1
N,nullptr,1,1,,
UF,this,1,1,1,1
UF,abstract,1,1,1,1
UF,extends,1,1,1,1
UF,implements,1,1,1,1
UF,using,1,1,,
UF,namespace,1,1,,
UB,std,1,1,,
B,Serializable,,,1,
UF,main,1,1,1,1
N,argv,,,,1
N,sys,1,1,1,1
N,exit,1,1,1,1
UF,public,1,1,1,
UF,private,1,1,1,
UF,protected,1,1,1,




